codigo,departamento,municipio
05649,Antioquia,San Carlos
05652,Antioquia,San Francisco
05656,Antioquia,San Jerónimo
05658,Antioquia,San José De La Montaña
05659,Antioquia,San Juan De Urabá
05660,Antioquia,San Luis
05664,Antioquia,San Pedro De Los Milagros
05665,Antioquia,San Pedro De Urabá
05667,Antioquia,San Rafael
05670,Antioquia,San Roque
05674,Antioquia,San Vicente Ferrer
05679,Antioquia,Santa Bárbara
05686,Antioquia,Santa Rosa De Osos
05690,Antioquia,Santo Domingo
05697,Antioquia,El Santuario
05736,Antioquia,Segovia
05756,Antioquia,Sonsón
05761,Antioquia,Sopetrán
05789,Antioquia,Támesis
05790,Antioquia,Tarazá
05792,Antioquia,Tarso
05809,Antioquia,Titiribí
05819,Antioquia,Toledo
05837,Antioquia,Turbo
05842,Antioquia,Uramita
05847,Antioquia,Urrao
05854,Antioquia,Valdivia
05856,Antioquia,Valparaíso
05858,Antioquia,Vegachí
05861,Antioquia,Venecia
05873,Antioquia,Vigía Del Fuerte
05885,Antioquia,Yalí
05887,Antioquia,Yarumal
05890,Antioquia,Yolombó
05893,Antioquia,Yondó
05895,Antioquia,Zaragoza
08001,Atlántico,Barranquilla
08078,Atlántico,Baranoa
08137,Atlántico,Campo De La Cruz
08141,Atlántico,Candelaria
08296,Atlántico,Galapa
08372,Atlántico,Juan De Acosta
08421,Atlántico,Luruaco
08433,Atlántico,Malambo
08436,Atlántico,Manatí
08520,Atlántico,Palmar De Varela
08549,Atlántico,Piojó
08558,Atlántico,Polonuevo
08560,Atlántico,Ponedera
08573,Atlántico,Puerto Colombia
08606,Atlántico,Repelón
08634,Atlántico,Sabanagrande
08638,Atlántico,Sabanalarga
08675,Atlántico,Santa Lucía
08685,Atlántico,Santo Tomás
08758,Atlántico,Soledad
08770,Atlántico,Suan
08832,Atlántico,Tubará
08849,Atlántico,Usiacurí
11001,Bogotá. D.C.,Bogotá. D.C.
13001,Bolívar,Cartagena De Indias
13006,Bolívar,Achí
13030,Bolívar,Altos Del Rosario
13042,Bolívar,Arenal
13052,Bolívar,Arjona
13062,Bolívar,Arroyohondo
13074,Bolívar,Barranco De Loba
13140,Bolívar,Calamar
13160,Bolívar,Cantagallo
13188,Bolívar,Cicuco
13212,Bolívar,Córdoba
13222,Bolívar,Clemencia
13244,Bolívar,El Carmen De Bolívar
13248,Bolívar,El Guamo
13268,Bolívar,El Peñón
13300,Bolívar,Hatillo De Loba
13430,Bolívar,Magangué
13433,Bolívar,Mahates
13440,Bolívar,Margarita
13442,Bolívar,María La Baja
13458,Bolívar,Montecristo
13468,Bolívar,Santa Cruz De Mompox
13473,Bolívar,Morales
13490,Bolívar,Norosí
13549,Bolívar,Pinillos
13580,Bolívar,Regidor
13600,Bolívar,Río Viejo
13620,Bolívar,San Cristóbal
13647,Bolívar,San Estanislao
13650,Bolívar,San Fernando
13654,Bolívar,San Jacinto
13655,Bolívar,San Jacinto Del Cauca
13657,Bolívar,San Juan Nepomuceno
13667,Bolívar,San Martín De Loba
13670,Bolívar,San Pablo
13673,Bolívar,Santa Catalina
13683,Bolívar,Santa Rosa
13688,Bolívar,Santa Rosa Del Sur
13744,Bolívar,Simití
13760,Bolívar,Soplaviento
13780,Bolívar,Talaigua Nuevo
13810,Bolívar,Tiquisio
13836,Bolívar,Turbaco
13838,Bolívar,Turbaná
13873,Bolívar,Villanueva
13894,Bolívar,Zambrano
15001,Boyacá,Tunja
15022,Boyacá,Almeida
15047,Boyacá,Aquitania
15051,Boyacá,Arcabuco
15087,Boyacá,Belén
15090,Boyacá,Berbeo
15092,Boyacá,Betéitiva
15097,Boyacá,Boavita
15104,Boyacá,Boyacá
15106,Boyacá,Briceño
15109,Boyacá,Buenavista
15114,Boyacá,Busbanzá
15131,Boyacá,Caldas
15135,Boyacá,Campohermoso
15162,Boyacá,Cerinza
15172,Boyacá,Chinavita
15176,Boyacá,Chiquinquirá
15180,Boyacá,Chiscas
15183,Boyacá,Chita
15185,Boyacá,Chitaraque
15187,Boyacá,Chivatá
15189,Boyacá,Ciénega
15204,Boyacá,Cómbita
15212,Boyacá,Coper
15215,Boyacá,Corrales
15218,Boyacá,Covarachía
15223,Boyacá,Cubará
15224,Boyacá,Cucaita
15226,Boyacá,Cuítiva
15232,Boyacá,Chíquiza
15236,Boyacá,Chivor
15238,Boyacá,Duitama
15244,Boyacá,El Cocuy
15248,Boyacá,El Espino
15272,Boyacá,Firavitoba
15276,Boyacá,Floresta
15293,Boyacá,Gachantivá
15296,Boyacá,Gámeza
15299,Boyacá,Garagoa
15317,Boyacá,Guacamayas
15322,Boyacá,Guateque
15325,Boyacá,Guayatá
15332,Boyacá,Güicán De La Sierra
15362,Boyacá,Iza
15367,Boyacá,Jenesano
15368,Boyacá,Jericó
15377,Boyacá,Labranzagrande
15380,Boyacá,La Capilla
15401,Boyacá,La Victoria
15403,Boyacá,La Uvita
15407,Boyacá,Villa De Leyva
15425,Boyacá,Macanal
15442,Boyacá,Maripí
15455,Boyacá,Miraflores
15464,Boyacá,Mongua
15466,Boyacá,Monguí
15469,Boyacá,Moniquirá
15476,Boyacá,Motavita
15480,Boyacá,Muzo
15491,Boyacá,Nobsa
15494,Boyacá,Nuevo Colón
15500,Boyacá,Oicatá
15507,Boyacá,Otanche
15511,Boyacá,Pachavita
15514,Boyacá,Páez
15516,Boyacá,Paipa
15518,Boyacá,Pajarito
15522,Boyacá,Panqueba
15531,Boyacá,Pauna
15533,Boyacá,Paya
15537,Boyacá,Paz De Río
15542,Boyacá,Pesca
15550,Boyacá,Pisba
15572,Boyacá,Puerto Boyacá
15580,Boyacá,Quípama
15599,Boyacá,Ramiriquí
15600,Boyacá,Ráquira
15621,Boyacá,Rondón
15632,Boyacá,Saboyá
15638,Boyacá,Sáchica
15646,Boyacá,Samacá
15660,Boyacá,San Eduardo
15664,Boyacá,San José De Pare
15667,Boyacá,San Luis De Gaceno
15673,Boyacá,San Mateo
15676,Boyacá,San Miguel De Sema
15681,Boyacá,San Pablo De Borbur
15686,Boyacá,Santana
15690,Boyacá,Santa María
15693,Boyacá,Santa Rosa De Viterbo
15696,Boyacá,Santa Sofía
15720,Boyacá,Sativanorte
15723,Boyacá,Sativasur
15740,Boyacá,Siachoque
15753,Boyacá,Soatá
15755,Boyacá,Socotá
15757,Boyacá,Socha
15759,Boyacá,Sogamoso
15761,Boyacá,Somondoco
15762,Boyacá,Sora
15763,Boyacá,Sotaquirá
15764,Boyacá,Soracá
15774,Boyacá,Susacón
15776,Boyacá,Sutamarchán
15778,Boyacá,Sutatenza
15790,Boyacá,Tasco
15798,Boyacá,Tenza
15804,Boyacá,Tibaná
15806,Boyacá,Tibasosa
15808,Boyacá,Tinjacá
15810,Boyacá,Tipacoque
15814,Boyacá,Toca
15816,Boyacá,Togüí
15820,Boyacá,Tópaga
15822,Boyacá,Tota
15832,Boyacá,Tununguá
15835,Boyacá,Turmequé
15837,Boyacá,Tuta
15839,Boyacá,Tutazá
15842,Boyacá,Úmbita
15861,Boyacá,Ventaquemada
15879,Boyacá,Viracachá
15897,Boyacá,Zetaquira
17001,Caldas,Manizales
17013,Caldas,Aguadas
17042,Caldas,Anserma
17050,Caldas,Aranzazu
17088,Caldas,Belalcázar
17174,Caldas,Chinchiná
17272,Caldas,Filadelfia
17380,Caldas,La Dorada
17388,Caldas,La Merced
17433,Caldas,Manzanares
17442,Caldas,Marmato
17444,Caldas,Marquetalia
17446,Caldas,Marulanda
17486,Caldas,Neira
17495,Caldas,Norcasia
17513,Caldas,Pácora
17524,Caldas,Palestina
17541,Caldas,Pensilvania
17614,Caldas,Riosucio
17616,Caldas,Risaralda
17653,Caldas,Salamina
17662,Caldas,Samaná
17665,Caldas,San José
17777,Caldas,Supía
17867,Caldas,Victoria
17873,Caldas,Villamaría
17877,Caldas,Viterbo
18001,Caquetá,Florencia
18029,Caquetá,Albania
18094,Caquetá,Belén De Los Andaquíes
18150,Caquetá,Cartagena Del Chairá
18205,Caquetá,Curillo
18247,Caquetá,El Doncello
18256,Caquetá,El Paujíl
18410,Caquetá,La Montañita
18460,Caquetá,Milán
18479,Caquetá,Morelia
18592,Caquetá,Puerto Rico
18610,Caquetá,San José Del Fragua
18753,Caquetá,San Vicente Del Caguán
18756,Caquetá,Solano
18785,Caquetá,Solita
18860,Caquetá,Valparaíso
19001,Cauca,Popayán
19022,Cauca,Almaguer
19050,Cauca,Argelia
19075,Cauca,Balboa
19100,Cauca,Bolívar
19110,Cauca,Buenos Aires
19130,Cauca,Cajibío
19137,Cauca,Caldono
19142,Cauca,Caloto
19212,Cauca,Corinto
19256,Cauca,El Tambo
19290,Cauca,Florencia
19300,Cauca,Guachené
19318,Cauca,Guapi
19355,Cauca,Inzá
19364,Cauca,Jambaló
19392,Cauca,La Sierra
19397,Cauca,La Vega
19418,Cauca,López De Micay
19450,Cauca,Mercaderes
19455,Cauca,Miranda
19473,Cauca,Morales
19513,Cauca,Padilla
19517,Cauca,Páez
19532,Cauca,Patía
19533,Cauca,Piamonte
19548,Cauca,Piendamó - Tunía
19573,Cauca,Puerto Tejada
19585,Cauca,Puracé
19622,Cauca,Rosas
19693,Cauca,San Sebastián
19698,Cauca,Santander De Quilichao
19701,Cauca,Santa Rosa
19743,Cauca,Silvia
19760,Cauca,Sotará Paispamba
19780,Cauca,Suárez
19785,Cauca,Sucre
19807,Cauca,Timbío
19809,Cauca,Timbiquí
19821,Cauca,Toribío
19824,Cauca,Totoró
19845,Cauca,Villa Rica
20001,Cesar,Valledupar
20011,Cesar,Aguachica
20013,Cesar,Agustín Codazzi
20032,Cesar,Astrea
20045,Cesar,Becerril
20060,Cesar,Bosconia
20175,Cesar,Chimichagua
20178,Cesar,Chiriguaná
20228,Cesar,Curumaní
20238,Cesar,El Copey
20250,Cesar,El Paso
20295,Cesar,Gamarra
20310,Cesar,González
20383,Cesar,La Gloria
20400,Cesar,La Jagua De Ibirico
20443,Cesar,Manaure Balcón Del Cesar
20517,Cesar,Pailitas
20550,Cesar,Pelaya
20570,Cesar,Pueblo Bello
20614,Cesar,Río De Oro
20621,Cesar,La Paz
20710,Cesar,San Alberto
20750,Cesar,San Diego
20770,Cesar,San Martín
20787,Cesar,Tamalameque
23001,Córdoba,Montería
23068,Córdoba,Ayapel
23079,Córdoba,Buenavista
23090,Córdoba,Canalete
23162,Córdoba,Cereté
23168,Córdoba,Chimá
23182,Córdoba,Chinú
23189,Córdoba,Ciénaga De Oro
23300,Córdoba,Cotorra
23350,Córdoba,La Apartada
23417,Córdoba,Lorica
23419,Córdoba,Los Córdobas
23464,Córdoba,Momil
23466,Córdoba,Montelíbano
23500,Córdoba,Moñitos
23555,Córdoba,Planeta Rica
23570,Córdoba,Pueblo Nuevo
23574,Córdoba,Puerto Escondido
23580,Córdoba,Puerto Libertador
23586,Córdoba,Purísima De La Concepción
23660,Córdoba,Sahagún
23670,Córdoba,San Andrés De Sotavento
23672,Córdoba,San Antero
23675,Córdoba,San Bernardo Del Viento
23678,Córdoba,San Carlos
23682,Córdoba,San José De Uré
23686,Córdoba,San Pelayo
23807,Córdoba,Tierralta
23815,Córdoba,Tuchín
23855,Córdoba,Valencia
25001,Cundinamarca,Agua De Dios
25019,Cundinamarca,Albán
25035,Cundinamarca,Anapoima
25040,Cundinamarca,Anolaima
25053,Cundinamarca,Arbeláez
25086,Cundinamarca,Beltrán
25095,Cundinamarca,Bituima
25099,Cundinamarca,Bojacá
25120,Cundinamarca,Cabrera
25123,Cundinamarca,Cachipay
25126,Cundinamarca,Cajicá
25148,Cundinamarca,Caparrapí
25151,Cundinamarca,Cáqueza
25154,Cundinamarca,Carmen De Carupa
25168,Cundinamarca,Chaguaní
25175,Cundinamarca,Chía
25178,Cundinamarca,Chipaque
25181,Cundinamarca,Choachí
25183,Cundinamarca,Chocontá
25200,Cundinamarca,Cogua
25214,Cundinamarca,Cota
25224,Cundinamarca,Cucunubá
25245,Cundinamarca,El Colegio
25258,Cundinamarca,El Peñón
25260,Cundinamarca,El Rosal
25269,Cundinamarca,Facatativá
25279,Cundinamarca,Fómeque
25281,Cundinamarca,Fosca
25286,Cundinamarca,Funza
25288,Cundinamarca,Fúquene
25290,Cundinamarca,Fusagasugá
25293,Cundinamarca,Gachalá
25295,Cundinamarca,Gachancipá
25297,Cundinamarca,Gachetá
25299,Cundinamarca,Gama
25307,Cundinamarca,Girardot
25312,Cundinamarca,Granada
25317,Cundinamarca,Guachetá
25320,Cundinamarca,Guaduas
25322,Cundinamarca,Guasca
25324,Cundinamarca,Guataquí
25326,Cundinamarca,Guatavita
25328,Cundinamarca,Guayabal De Síquima
25335,Cundinamarca,Guayabetal
25339,Cundinamarca,Gutiérrez
25368,Cundinamarca,Jerusalén
25372,Cundinamarca,Junín
25377,Cundinamarca,La Calera
25386,Cundinamarca,La Mesa
25394,Cundinamarca,La Palma
25398,Cundinamarca,La Peña
25402,Cundinamarca,La Vega
25407,Cundinamarca,Lenguazaque
25426,Cundinamarca,Machetá
25430,Cundinamarca,Madrid
25436,Cundinamarca,Manta
25438,Cundinamarca,Medina
25473,Cundinamarca,Mosquera
25483,Cundinamarca,Nariño
25486,Cundinamarca,Nemocón
25488,Cundinamarca,Nilo
25489,Cundinamarca,Nimaima
25491,Cundinamarca,Nocaima
25506,Cundinamarca,Venecia
25513,Cundinamarca,Pacho
25518,Cundinamarca,Paime
25524,Cundinamarca,Pandi
25530,Cundinamarca,Paratebueno
25535,Cundinamarca,Pasca
25572,Cundinamarca,Puerto Salgar
25580,Cundinamarca,Pulí
25592,Cundinamarca,Quebradanegra
25594,Cundinamarca,Quetame
25596,Cundinamarca,Quipile
25599,Cundinamarca,Apulo
25612,Cundinamarca,Ricaurte
25645,Cundinamarca,San Antonio Del Tequendama
25649,Cundinamarca,San Bernardo
25653,Cundinamarca,San Cayetano
25658,Cundinamarca,San Francisco
25662,Cundinamarca,San Juan De Rioseco
25718,Cundinamarca,Sasaima
25736,Cundinamarca,Sesquilé
25740,Cundinamarca,Sibaté
25743,Cundinamarca,Silvania
25745,Cundinamarca,Simijaca
25754,Cundinamarca,Soacha
25758,Cundinamarca,Sopó
25769,Cundinamarca,Subachoque
25772,Cundinamarca,Suesca
25777,Cundinamarca,Supatá
25779,Cundinamarca,Susa
25781,Cundinamarca,Sutatausa
25785,Cundinamarca,Tabio
25793,Cundinamarca,Tausa
25797,Cundinamarca,Tena
25799,Cundinamarca,Tenjo
25805,Cundinamarca,Tibacuy
25807,Cundinamarca,Tibirita
25815,Cundinamarca,Tocaima
25817,Cundinamarca,Tocancipá
25823,Cundinamarca,Topaipí
25839,Cundinamarca,Ubalá
25841,Cundinamarca,Ubaque
25843,Cundinamarca,Villa De San Diego De Ubaté
25845,Cundinamarca,Une
25851,Cundinamarca,Útica
25862,Cundinamarca,Vergara
25867,Cundinamarca,Vianí
25871,Cundinamarca,Villagómez
25873,Cundinamarca,Villapinzón
25875,Cundinamarca,Villeta
25878,Cundinamarca,Viotá
25885,Cundinamarca,Yacopí
25898,Cundinamarca,Zipacón
25899,Cundinamarca,Zipaquirá
27001,Chocó,Quibdó
27006,Chocó,Acandí
27025,Chocó,Alto Baudó
27050,Chocó,Atrato
27073,Chocó,Bagadó
27075,Chocó,Bahía Solano
27077,Chocó,Bajo Baudó
27099,Chocó,Bojayá
27135,Chocó,El Cantón Del San Pablo
27150,Chocó,Carmen Del Darién
27160,Chocó,Cértegui
27205,Chocó,Condoto
27245,Chocó,El Carmen De Atrato
27250,Chocó,El Litoral Del San Juan
27361,Chocó,Istmina
27372,Chocó,Juradó
27413,Chocó,Lloró
27425,Chocó,Medio Atrato
27430,Chocó,Medio Baudó
27450,Chocó,Medio San Juan
27491,Chocó,Nóvita
27495,Chocó,Nuquí
27580,Chocó,Río Iró
27600,Chocó,Río Quito
27615,Chocó,Riosucio
27660,Chocó,San José Del Palmar
27745,Chocó,Sipí
27787,Chocó,Tadó
27800,Chocó,Unguía
27810,Chocó,Unión Panamericana
41001,Huila,Neiva
41006,Huila,Acevedo
41013,Huila,Agrado
41016,Huila,Aipe
41020,Huila,Algeciras
41026,Huila,Altamira
41078,Huila,Baraya
41132,Huila,Campoalegre
41206,Huila,Colombia
41244,Huila,Elías
41298,Huila,Garzón
41306,Huila,Gigante
41319,Huila,Guadalupe
41349,Huila,Hobo
41357,Huila,Íquira
41359,Huila,Isnos
41378,Huila,La Argentina
41396,Huila,La Plata
41483,Huila,Nátaga
41503,Huila,Oporapa
41518,Huila,Paicol
41524,Huila,Palermo
41530,Huila,Palestina
41548,Huila,Pital
41551,Huila,Pitalito
41615,Huila,Rivera
41660,Huila,Saladoblanco
41668,Huila,San Agustín
41676,Huila,Santa María
41770,Huila,Suaza
41791,Huila,Tarqui
41797,Huila,Tesalia
41799,Huila,Tello
41801,Huila,Teruel
41807,Huila,Timaná
41872,Huila,Villavieja
41885,Huila,Yaguará
44001,La Guajira,Riohacha
44035,La Guajira,Albania
44078,La Guajira,Barrancas
44090,La Guajira,Dibulla
44098,La Guajira,Distracción
44110,La Guajira,El Molino
44279,La Guajira,Fonseca
44378,La Guajira,Hatonuevo
44420,La Guajira,La Jagua Del Pilar
44430,La Guajira,Maicao
44560,La Guajira,Manaure
44650,La Guajira,San Juan Del Cesar
44847,La Guajira,Uribia
44855,La Guajira,Urumita
44874,La Guajira,Villanueva
47001,Magdalena,Santa Marta
47030,Magdalena,Algarrobo
47053,Magdalena,Aracataca
47058,Magdalena,Ariguaní
47161,Magdalena,Cerro De San Antonio
47170,Magdalena,Chivolo
47189,Magdalena,Ciénaga
47205,Magdalena,Concordia
47245,Magdalena,El Banco
47258,Magdalena,El Piñón
47268,Magdalena,El Retén
47288,Magdalena,Fundación
47318,Magdalena,Guamal
47460,Magdalena,Nueva Granada
47541,Magdalena,Pedraza
47545,Magdalena,Pijiño Del Carmen
47551,Magdalena,Pivijay
47555,Magdalena,Plato
47570,Magdalena,Puebloviejo
47605,Magdalena,Remolino
47660,Magdalena,Sabanas De San Ángel
47675,Magdalena,Salamina
47692,Magdalena,San Sebastián De Buenavista
47703,Magdalena,San Zenón
47707,Magdalena,Santa Ana
47720,Magdalena,Santa Bárbara De Pinto
47745,Magdalena,Sitionuevo
47798,Magdalena,Tenerife
47960,Magdalena,Zapayán
47980,Magdalena,Zona Bananera
50001,Meta,Villavicencio
50006,Meta,Acacías
50110,Meta,Barranca De Upía
50124,Meta,Cabuyaro
50150,Meta,Castilla La Nueva
50223,Meta,Cubarral
50226,Meta,Cumaral
50245,Meta,El Calvario
50251,Meta,El Castillo
50270,Meta,El Dorado
50287,Meta,Fuente De Oro
50313,Meta,Granada
50318,Meta,Guamal
50325,Meta,Mapiripán
50330,Meta,Mesetas
50350,Meta,La Macarena
50370,Meta,Uribe
50400,Meta,Lejanías
50450,Meta,Puerto Concordia
50568,Meta,Puerto Gaitán
50573,Meta,Puerto López
50577,Meta,Puerto Lleras
50590,Meta,Puerto Rico
50606,Meta,Restrepo
50680,Meta,San Carlos De Guaroa
50683,Meta,San Juan De Arama
50686,Meta,San Juanito
50689,Meta,San Martín
50711,Meta,Vistahermosa
52001,Nariño,Pasto
52019,Nariño,Albán
52022,Nariño,Aldana
52036,Nariño,Ancuya
52051,Nariño,Arboleda
52079,Nariño,Barbacoas
52083,Nariño,Belén
52110,Nariño,Buesaco
52203,Nariño,Colón
52207,Nariño,Consacá
52210,Nariño,Contadero
52215,Nariño,Córdoba
52224,Nariño,Cuaspud Carlosama
52227,Nariño,Cumbal
52233,Nariño,Cumbitara
52240,Nariño,Chachagüí
52250,Nariño,El Charco
52254,Nariño,El Peñol
52256,Nariño,El Rosario
52258,Nariño,El Tablón De Gómez
52260,Nariño,El Tambo
52287,Nariño,Funes
52317,Nariño,Guachucal
52320,Nariño,Guaitarilla
52323,Nariño,Gualmatán
52352,Nariño,Iles
52354,Nariño,Imués
52356,Nariño,Ipiales
52378,Nariño,La Cruz
52381,Nariño,La Florida
52385,Nariño,La Llanada
52390,Nariño,La Tola
52399,Nariño,La Unión
52405,Nariño,Leiva
52411,Nariño,Linares
52418,Nariño,Los Andes
52427,Nariño,Magüí
52435,Nariño,Mallama
52473,Nariño,Mosquera
52480,Nariño,Nariño
52490,Nariño,Olaya Herrera
52506,Nariño,Ospina
52520,Nariño,Francisco Pizarro
52540,Nariño,Policarpa
52560,Nariño,Potosí
52565,Nariño,Providencia
52573,Nariño,Puerres
52585,Nariño,Pupiales
52612,Nariño,Ricaurte
52621,Nariño,Roberto Payán
52678,Nariño,Samaniego
52683,Nariño,Sandoná
52685,Nariño,San Bernardo
52687,Nariño,San Lorenzo
52693,Nariño,San Pablo
52694,Nariño,San Pedro De Cartago
52696,Nariño,Santa Bárbara
52699,Nariño,Santacruz
52720,Nariño,Sapuyes
52786,Nariño,Taminango
52788,Nariño,Tangua
52835,Nariño,San Andrés De Tumaco
52838,Nariño,Túquerres
52885,Nariño,Yacuanquer
54001,Norte De Santander,San José De Cúcuta
54003,Norte De Santander,Ábrego
54051,Norte De Santander,Arboledas
54099,Norte De Santander,Bochalema
54109,Norte De Santander,Bucarasica
54125,Norte De Santander,Cácota
54128,Norte De Santander,Cáchira
54172,Norte De Santander,Chinácota
54174,Norte De Santander,Chitagá
54206,Norte De Santander,Convención
54223,Norte De Santander,Cucutilla
54239,Norte De Santander,Durania
54245,Norte De Santander,El Carmen
54250,Norte De Santander,El Tarra
54261,Norte De Santander,El Zulia
54313,Norte De Santander,Gramalote
54344,Norte De Santander,Hacarí
54347,Norte De Santander,Herrán
54377,Norte De Santander,Labateca
54385,Norte De Santander,La Esperanza
54398,Norte De Santander,La Playa
54405,Norte De Santander,Los Patios
54418,Norte De Santander,Lourdes
54480,Norte De Santander,Mutiscua
54498,Norte De Santander,Ocaña
54518,Norte De Santander,Pamplona
54520,Norte De Santander,Pamplonita
54553,Norte De Santander,Puerto Santander
54599,Norte De Santander,Ragonvalia
54660,Norte De Santander,Salazar
54670,Norte De Santander,San Calixto
54673,Norte De Santander,San Cayetano
54680,Norte De Santander,Santiago
54720,Norte De Santander,Sardinata
54743,Norte De Santander,Silos
54800,Norte De Santander,Teorama
54810,Norte De Santander,Tibú
54820,Norte De Santander,Toledo
54871,Norte De Santander,Villa Caro
54874,Norte De Santander,Villa Del Rosario
63001,Quindío,Armenia
63111,Quindío,Buenavista
63130,Quindío,Calarcá
63190,Quindío,Circasia
63212,Quindío,Córdoba
63272,Quindío,Filandia
63302,Quindío,Génova
63401,Quindío,La Tebaida
63470,Quindío,Montenegro
63548,Quindío,Pijao
63594,Quindío,Quimbaya
63690,Quindío,Salento
66001,Risaralda,Pereira
66045,Risaralda,Apía
66075,Risaralda,Balboa
66088,Risaralda,Belén De Umbría
66170,Risaralda,Dosquebradas
66318,Risaralda,Guática
66383,Risaralda,La Celia
66400,Risaralda,La Virginia
66440,Risaralda,Marsella
66456,Risaralda,Mistrató
66572,Risaralda,Pueblo Rico
66594,Risaralda,Quinchía
66682,Risaralda,Santa Rosa De Cabal
66687,Risaralda,Santuario
68001,Santander,Bucaramanga
68013,Santander,Aguada
68020,Santander,Albania
68051,Santander,Aratoca
68077,Santander,Barbosa
68079,Santander,Barichara
68081,Santander,Barrancabermeja
68092,Santander,Betulia
68101,Santander,Bolívar
68121,Santander,Cabrera
68132,Santander,California
68147,Santander,Capitanejo
68152,Santander,Carcasí
68160,Santander,Cepitá
68162,Santander,Cerrito
68167,Santander,Charalá
68169,Santander,Charta
68176,Santander,Chima
68179,Santander,Chipatá
68190,Santander,Cimitarra
68207,Santander,Concepción
68209,Santander,Confines
68211,Santander,Contratación
68217,Santander,Coromoro
68229,Santander,Curití
68235,Santander,El Carmen De Chucuri
68245,Santander,El Guacamayo
68250,Santander,El Peñón
68255,Santander,El Playón
68264,Santander,Encino
68266,Santander,Enciso
68271,Santander,Florián
68276,Santander,Floridablanca
68296,Santander,Galán
68298,Santander,Gámbita
68307,Santander,Girón
68318,Santander,Guaca
68320,Santander,Guadalupe
68322,Santander,Guapotá
68324,Santander,Guavatá
68327,Santander,Güepsa
68344,Santander,Hato
68368,Santander,Jesús María
68370,Santander,Jordán
68377,Santander,La Belleza
68385,Santander,Landázuri
68397,Santander,La Paz
68406,Santander,Lebrija
68418,Santander,Los Santos
68425,Santander,Macaravita
68432,Santander,Málaga
68444,Santander,Matanza
68464,Santander,Mogotes
68468,Santander,Molagavita
68498,Santander,Ocamonte
68500,Santander,Oiba
68502,Santander,Onzaga
68522,Santander,Palmar
68524,Santander,Palmas Del Socorro
68533,Santander,Páramo
68547,Santander,Piedecuesta
68549,Santander,Pinchote
68572,Santander,Puente Nacional
68573,Santander,Puerto Parra
68575,Santander,Puerto Wilches
68615,Santander,Rionegro
68655,Santander,Sabana De Torres
68669,Santander,San Andrés
68673,Santander,San Benito
68679,Santander,San Gil
68682,Santander,San Joaquín
68684,Santander,San José De Miranda
68686,Santander,San Miguel
68689,Santander,San Vicente De Chucurí
68705,Santander,Santa Bárbara
68720,Santander,Santa Helena Del Opón
68745,Santander,Simacota
68755,Santander,Socorro
68770,Santander,Suaita
