identity_code,ean_code,service_code,initial,length
,7707349750018,00004464,1,8
,7707235330010,00004649,0,10
,7709998004276,00004739,1,10
,7709998002890,00004777,21,8
,7700723898703,00004786,1,8
,7709998004917,00004795,0,11
,7709998014329,00004796,1,8
,7701010039013,00004816,0,18
,7709998009189,00004821,1,8
,7709998016699,00004863,1,12
,7709998635128,00004895,1,12
,0000000004914,00004942,1,8
,0000000004914,00004942,1,30
,0000000004914,00004942,1,29
,7709998342729,00004950,0,8
,7709998001688,00004957,0,11
,7707279240016,00005005,1,8
,7709998021396,00005006,1,8
,7709998011731,00005018,1,8
,7709998008588,00005020,1,6
,770235400001,00005027,1,8
,7707279240023,00005028,1,8
,888564785485,00005040,0,15
,7709998828667,00005044,1,9
,7709998015982,00005093,1,17
,7707202601226,00005104,1,19
,7707202600616,00005105,1,18
,7707202603106,00005106,1,19
,7707202603206,00005107,1,19
,7707202603126,00005108,1,19
,7707202603336,00005109,1,19
,7702310999991,00005131,1,8
,7709998016057,00005206,1,8
,7709998020450,00005207,1,12
,0009000973339,00005212,1,10
,7709999112376,00005239,1,14
,7700999802099,00005241,1,8
,7709998003613,00005256,1,18
,7702020000017,00005266,1,8
,7705465999991,00005268,1,6
,7709998012332,00005269,1,9
,7709998915206,00005272,21,12
,7702020000024,00005283,1,8
,6665654654654,00005288,20,20
,7709998009493,00005304,1,16
,7709998020955,00005312,1,10
,0000000011187,00005316,0,15
,0000000011188,00005317,1,15
,7709998022393,00005318,1,10
,0000000011186,00005319,1,15
,0000000011185,00005320,1,15
,7709998022348,00005321,1,10
,0004111722998,00005336,1,8
,0004111722653,00005337,1,8
,0000000011214,00005338,1,15
,7702605700011,00005341,1,4
,7702177010426,00005353,1,18
,7709998017832,00005354,1,16
,7707316039009,00005363,1,18
,7709998017856,00005365,1,16
,7709998017825,00005366,1,16
,0000000011240,00005367,1,10
,7709998012110,00005374,1,16
,7707052612344,00005378,1,10
,7709998022263,00005379,1,11
,0004111722578,00005380,1,8
,7700604000118,00005399,1,16
,7702130000112,00005400,1,16
,7707179420013,00005401,0,16
,7707240830017,00005430,1,12
,7709998001114,00005431,1,10
,7706456005011,00005436,1,10
,0000000011321,00005437,1,18
,770999801184,00005455,1,17
,7709998017795,00005463,1,10
,7709998017801,00005464,1,10
,7709998017849,00005465,1,10
,7709998011625,00005466,1,10
,7709998575110,00005467,1,10
,7709998018143,00005468,1,10
,7709998377745,00005473,1,10
,0000000010057,00005476,1,12
,7703378004337,00005477,1,10
,7709998537055,00005479,0,12
,7707235285778,00005489,1,12
,7709998011724,00005498,1,18
,7709998009080,00005517,1,8
,7707208215184,00005530,21,8
,7707175320027,00005533,21,14
,7703039000036,00005581,1,4
,7703378004337,00005585,1,10
,7702158000002,00005586,1,18
,7709998120297,00005587,1,14
,7709998009882,00005592,1,18
,0000000010400,00005603,1,10
,7709998010079,00005610,1,16
,7708900000001,00005613,1,18
,7709998107861,00005615,1,15
,000000001003,00005616,1,18
,7702014850000,00005617,1,14
,7709998781207,00005623,1,16
,7709998831384,00005625,1,10
,770726150203,00005657,1,6
,7707229285777,00005658,0,8
,0000000009676,00005662,1,18
,0000000011610,00005690,0,10
,0000000011512,00005717,0,18
,7709998008328,00005723,1,10
,770999800642,00005726,1,16
,7709998005860,00005727,1,16
,7709998017559,00005728,1,8
,7709998004559,00005740,1,8
,7709998000841,00005741,1,16
,7707172962022,00005748,0,18
,7707172962022,00005751,0,18
,7709998021983,00005759,1,12
,7709998008496,00005761,1,12
,7703001433077,00005762,1,9
,7709998008519,00005765,1,12
,7707267430016,00005772,1,14
,7709998255203,00005789,21,8
,7709998000407,00005790,1,10
,7702011000033,00005795,1,4
,000000001051,00005796,1,18
,0000000011838,00005797,1,4
,0000000011566,00005798,1,3
,0000000011569,00005799,1,3
,0000000011568,00005800,1,3
,0000000011750,00005801,1,12
,7709992010710,00005802,1,6
,7709998010727,00005803,1,7
,7709998999893,00005804,1,18
,0000000011727,00005805,1,18
,0000000011728,00005818,1,18
,0000000009593,00005819,1,18
,7709997004864,00005820,1,5
,7709998006256,00005821,1,6
,7709998021877,00005822,1,12
,7709998022331,00005823,1,6
,0000000010062,00005824,1,18
,7709998130319,00005825,1,10
,7702059000019,00005827,1,4
,0000000010162,00005829,1,10
,7706036000702,00005830,1,17
,0000000011818,00005831,1,18
,7709998003606,00005834,1,18
,7709998010802,00005861,1,10
,7709998064140,00005862,1,10
,7707268715778,00005880,21,12
,0009002824141,00006165,1,8
,7709998018020,00006228,1,10
,7709998233133,00006229,1,10
,0000000011666,00006285,1,4
,0000000011916,00006286,1,10
,7709998016095,00006287,1,10
,7709998325999,00006288,1,10
,0000000011884,00006289,1,18
,0000000011874,00006290,1,10
,0000000011872,00006291,1,4
,7703562000022,00006296,1,10
,7709998000766,00006297,1,12
,7709998017818,00006308,1,16
,0000000011933,00006311,1,10
,7709998021754,00006312,1,16
,0000000011965,00006313,1,10
,0000000011892,00006314,1,4
,0000000011966,00006315,1,10
,0000000011934,00006316,1,10
,7709998015616,00006320,1,10
,7709998017900,00006324,1,8
,0000000011876,00006328,1,11
,0000000011909,00006331,1,12
,0000000011950,00006332,1,4
,0000000010504,00006333,1,10
,0000000011819,00006337,1,10
,7709998003705,00006345,1,6
,7709998485884,00006347,21,10
,7709998012141,00006348,1,8
,0000000011922,00006359,1,10
,7709998998353,00006387,1,12
,000428000103,00006400,1,16
,7709998010567,00006412,1,11
,7709998019270,00006413,1,6
,7709998865679,00006417,1,6
,7709998601956,00006425,1,19
,7709998897908,00006426,1,12
,7709998558762,00006434,1,12
,7707188150017,00006436,1,8
,7709998016804,00006438,1,14
,0000000012128,00006450,1,11
,7709998392397,00006482,1,10
,0000000012034,00006488,1,10
,7707198687190,00006489,21,18
,0004111738913,00006497,1,18
,0004038916876,00006498,1,18
,0009521372719,00006499,1,8
,0000000011979,00006515,1,4
,0000070098470,00006516,1,8
,0000000017896,00006541,0,14
,7709998013568,00006544,21,8
,0004111737350,00006576,1,8
,7709998003934,00006587,0,18
,0000000012257,00006592,1,10
,0009002697695,00006615,1,8
,0000000012256,00006634,1,10
,0000000012255,00006641,1,10
,0000000012245,00006642,1,10
,0000000012317,00006643,1,13
,0000000011935,00006644,1,13
,0000000011162,00006650,1,13
,7707212489984,00006660,21,10
,0000000012205,00006667,1,13
,7709998456143,00006668,1,8
,7709998014114,00006681,1,10
,7709998015975,00006682,1,18
,7707057700015,00006692,1,10
,7709998373426,00006695,1,10
,012036548552,00006698,1,12
,7709998444942,00006717,1,12
,0000000012382,00006719,1,18
,0000000012087,00006720,1,13
,7709998650848,00006730,1,14
,0000000012413,00006731,1,13
,0008001515516,00006740,1,6
,0009000769298,00006741,1,6
,0000000012577,00006742,1,10
,7709998823471,00006744,1,12
,0000000012097,00006745,1,18
,7709998011878,00006746,1,14
,7709998011861,00006747,1,14
,0000000011485,00006748,1,8
,7709998277038,00006764,1,6
,0000000006708,00006765,1,10
,0000000012551,00006766,1,10
,0000000012573,00006767,1,10
,7701861000019,00006792,1,9
,7707311661625,00006799,1,6
,7707280342006,00006807,0,10
,7709998004672,00006816,1,5
,7709998960411,00006821,1,10
,7709998146310,00006822,1,10
,7709998962057,00006828,1,4
,77099980068,00006844,1,12
,0000000001893,00006900,1,10
,7709998004542,00006901,1,10
,7707316037005,00006902,1,10
,7707316033007,00006903,1,12
,7707316035001,00006904,1,10
,7707316034004,00006906,1,12
,7709998017931,00006926,1,16
,7709998999671,00006938,1,8
,7709998323124,00006939,1,8
,7709998122765,00006940,1,10
,7709998267732,00006941,1,10
,7709998706309,00006950,1,14
,7709998580220,00006952,21,16
,7709998017467,00006963,1,8
,0000000011122,00006964,1,10
,0000000015352,00006965,1,18
,0000000011526,00006966,1,10
,0000000011570,00006967,1,10
,0000000011522,00006968,1,10
,0000000011537,00006969,1,10
,0000000011515,00006970,1,10
,0000000011450,00006971,1,10
,0000000011529,00006972,1,15
,0000000011137,00006973,1,10
,7709998021518,00006974,1,15
,0000000012555,00006975,1,10
,0009000003174,00006976,1,6
,7709998020016,00006997,1,6
,7707240830017,00007000,1,12
,7709998006638,00007006,21,9
,7707193020022,00007027,1,8
,7709998645127,00007040,1,16
,7709998013315,00007042,1,8
,7709998743694,00007043,1,10
,0000000012356,00007060,1,18
,7709998006751,00007072,1,12
,7709998012806,00007073,1,16
,7709998185999,00007078,1,6
,7709998537095,00007079,1,12
,7707277260016,00007080,1,12
,0000000012664,00007081,1,18
,7709998678798,00007091,1,10
,0000000013145,00007093,1,18
,7709998685352,00007096,1,12
,7709998550025,00007097,1,12
,7705627500003,00007100,1,18
,7702281000016,00007101,1,10
,0000000013232,00007102,1,18
,0000000013228,00007103,1,18
,0000000013164,00007104,1,18
,7707289940593,00007105,1,10
,0000000012517,00007107,1,16
,0000000012351,00007108,1,18
,0000000012964,00007109,1,18
,7700611000224,00007110,1,10
,7700509000015,00007111,1,10
,7700732000998,00007112,1,10
,0000000013096,00007113,1,18
,0000000013195,00007114,1,18
,0000000013196,00007115,1,18
,0000000013149,00007122,1,18
,0000000013179,00007123,1,15
,0000000011235,00007124,1,10
,7707348129907,00007125,1,18
,7709998011656,00007126,1,12
,7709998000339,00007128,1,18
,7709998159877,00007137,1,10
,0000000011805,00007138,1,14
,7707277260337,00007139,1,12
,7707172962022,00007140,0,10
,770204914001,00007141,1,14
,0000000012121,00007142,1,18
,0000000013247,00007143,1,18
,0000000013246,00007144,1,18
,0000000013200,00007145,1,18
,0000000012370,00007146,1,14
,0000000012850,00007147,1,14
,7709998859623,00007148,1,10
,7709998016880,00007149,1,16
,7709998812390,00007152,1,6
,7702427800029,00007153,1,18
,0008909011770,00007155,21,12
,7709998006812,00007156,1,10
,7709998153073,00007157,1,10
,0000000001184,00007158,1,8
,7709998007048,00007159,1,12
,7709998021440,00007160,23,18
,0000000013270,00007162,1,18
,7709998011731,00007166,1,14
,7709998003767,00007246,1,8
,7709998015692,00007248,0,12
,0000166824662,00007279,1,6
,0000075064360,00007328,1,4
,7702860000017,00007374,1,6
,7709998399815,00007395,1,18
,7709998010949,00007405,1,6
,7707345850002,00007415,1,10
,7709998003033,00007439,1,12
,7702561000019,00007450,1,6
,7707159820338,00007454,1,14
,0000000013805,00007462,1,12
,7707223943468,00007463,1,18
,7709998643017,00007464,1,14
,0000000007468,00007468,1,10
,7704657000019,00007479,1,14
,7703142000015,00007480,1,6
,7709998739673,00007481,1,12
,7709998022287,00007482,1,8
,0000000013797,00007484,1,18
,0000000007488,00007488,1,9
,0000000013878,00007539,1,18
,0000000013863,00007540,1,14
,7709999112413,00007541,1,16
,0000000013858,00007542,1,14
,0000000013877,00007543,1,18
,0000000013847,00007544,1,18
,0000000013899,00007545,1,18
,0000000013867,00007546,1,18
,0000000013939,00007547,1,14
,0000000013913,00007548,1,18
,0000000013615,00007549,1,18
,0000000013904,00007550,1,18
,0000000013862,00007551,1,18
,0000000010249,00007563,1,18
,0000000014033,00007564,1,14
,0000000013944,00007565,1,15
,0000000014047,00007566,1,14
,0000000013838,00007567,1,15
,0000000011119,00007568,1,15
,0000000013981,00007569,1,15
,7709998005341,00007570,1,18
,0000000007476,00007571,1,4
,7701011000005,00007572,1,6
,0000000013979,00007574,1,14
,0000000013945,00007575,1,14
,0000000010081,00007577,1,18
,0000000013889,00007578,1,18
,0000000013865,00007579,1,15
,7709998386877,00007600,1,10
,7702049140060,00007631,1,14
,7706772900212,00007632,1,6
,0000000013800,00007633,1,16
,0000000014042,00007634,1,18
,0000000014023,00007635,1,12
,0000000014030,00007636,1,13
,0000000014081,00007637,1,18
,0000000014062,00007656,1,18
,0000000007552,00007657,1,10
,0009001194018,00007658,1,6
,7704631999995,00007693,1,12
,0000000013893,00007699,1,18
,0000000014122,00007700,0,18
,7701494000028,00007701,1,12
,0000000011801,00007702,1,15
,0000000014143,00007704,1,18
,0000000014140,00007705,1,18
,0000000002514,00007713,1,18
,0000000014155,00007714,1,18
,0000000014244,00007715,1,18
,7709998670723,00007716,1,15
,0000000014269,00007717,1,15
,0000000014190,00007718,1,18
,7709998437869,00007719,1,10
,0000000014243,00007723,1,18
,0000000014292,00007724,1,15
,0000000014172,00007725,1,18
,7707261504102,00007758,1,18
,0000000014086,00007815,1,15
,7702133999994,00007816,1,12
,0000000014295,00007817,1,10
,7709998485198,00007818,1,17
,7702511900017,00007819,1,14
,7709998999541,00007820,1,10
,0000000014232,00007842,1,18
,7709998005037,00007844,1,12
,0000000014525,00007845,1,15
,0000000014480,00007846,1,18
,7709998021884,00007903,1,16
,0000000014167,00007904,1,17
,0000000014325,00007905,1,18
,0000000014536,00007906,1,15
,0000000014180,00007907,1,18
,7709998012394,00007908,1,10
,0000000014571,00007909,1,18
,0000000014543,00007910,1,10
,0000000014378,00007911,1,13
,0000000014275,00007912,1,10
,0000000013396,00007913,1,10
,0000000014570,00007916,1,18
,0000000014551,00007920,1,18
,7709998009974,00007981,1,12
,7702109007494,00007982,1,18
,7701155000015,00007989,1,13
,0000000007840,00007997,1,4
,0000000014628,00007998,1,18
,0000000011708,00008040,21,12
,7707235331208,00008051,0,10
,2568459852132,00008135,0,2
,7707316039009,00008137,1,10
,7709998126329,00008394,21,8
,0000000020791,00008454,21,16
,7709998183537,00008669,0,10
,7707316036008,00008675,1,10
,7707316038002,00008758,1,10
,7702049140015,00008984,21,14
,0000000014546,00009000,1,18
,7709998266421,00009001,1,14
,0000000014723,00009002,1,18
,7709998000889,00009007,1,18
,7709998414235,00009009,1,18
,7709998300040,00009010,1,18
,0000000014478,00009017,1,15
,000000014215,00009018,1,18
,0000000014182,00009019,1,17
,7709998828568,00009020,1,16
,7709998000285,00009021,1,12
,0000000014655,00009022,1,16
,0000106150683,00009024,1,6
,0000106150675,00009025,1,6
,7709998150140,00009026,21,14
,0000000014682,00009027,1,18
,0000000014776,00009028,1,18
,7709998666542,00009029,1,14
,0000000014236,00009030,1,10
,0000000014151,00009031,1,17
,7709998077355,00009033,1,18
,7707313400109,00009034,1,18
,0000000014590,00009035,1,10
,7709998435995,00009037,1,12
,7709998133938,00009038,1,12
,7709998892606,00009040,1,12
,0000000014636,00009041,1,6
,7707191700018,00009042,1,8
,7709998136335,00009043,1,14
,0000000014320,00009050,0,17
,0000000050028,00009051,0,9
,0000000014830,00009052,1,18
,7702595000016,00009053,1,12
,0000106150659,00009054,1,6
,7707268760020,00009055,1,11
,7707268760013,00009056,1,11
,7707268760037,00009057,1,11
,0000000050061,00009062,1,6
,0000000014075,00009093,1,13
,123456879963,00009094,0,18
,0000477006225,00009128,1,10
,7709998001046,00009153,21,8
,0000000011405,00009167,1,18
,0000000015223,00009168,1,17
,7709998854574,00009169,1,6
,7709998474055,00009193,1,10
,0000000014587,00009194,1,14
,7709998021860,00009197,1,16
,0000000015273,00009208,1,17
,0000000015255,00009209,1,17
,7709998004221,00009210,1,14
,0000000015507,00009211,1,18
,0000000015473,00009212,1,18
,0000000014924,00009221,1,18
,0000000014743,00009222,1,18
,0000000015059,00009223,1,18
,0000000015508,00009224,1,18
,0008000338429,00009237,0,6
,7709998642355,00009256,1,10
,7709998969391,00009266,1,18
,7707342260996,00009301,1,12
,7709998140721,00009310,1,12
,7709998386020,00009313,1,8
,0000000015586,00009331,1,8
,0000000015730,00009332,1,18
,0000000015321,00009333,1,17
,0000000015745,00009334,1,16
,0000000015541,00009335,1,16
,7709998013025,00009339,1,16
,7709998014824,00009340,1,8
,0000000015837,00009341,1,10
,0000000015791,00009342,1,13
,0000000015687,00009343,1,18
,0000000015319,00009344,1,14
,7709998028517,00009345,1,11
,0000000015731,00009387,1,16
,7707231190007,00009392,1,8
,0000000015833,00009394,1,16
,1211201900012,00009395,0,6
,7707202600090,00009403,1,18
,0000000015948,00009404,1,10
,0000000015894,00009428,1,10
,0000000015950,00009433,1,11
,0000000015838,00009435,1,11
,7709998352636,00009450,0,10
,0000000015992,00009456,0,9
,0000000015813,00009457,1,10
,0000000016054,00009461,1,10
,0000000016006,00009466,1,4
,0000000016072,00009472,1,10
,0000000015702,00009483,1,10
,7707200902297,00009484,1,18
,0000000015951,00009485,1,10
,0000000015842,00009486,1,11
,7709998002739,00009488,1,12
,7703133091006,00009489,1,14
,7703111090995,00009492,1,14
,0000000016166,00009493,0,18
,7709998823471,00009494,1,12
,0000000016146,00009495,1,10
,7707237320026,00009499,1,10
,7709998518612,00009506,0,18
,7709998354661,00009507,1,8
,7709990875744,00009508,1,10
,7707300480527,00009509,1,12
,7707300480329,00009510,1,12
,7709998974821,00009511,1,16
,7707300480222,00009512,1,12
,7707247180153,00009513,1,27
,7707247180153,00009513,1,30
,7707247180153,00009513,1,28
,7707247180153,00009513,1,29
,0000000016192,00009520,1,10
,0000000015991,00009521,1,11
,0000000015915,00009522,1,11
,000000015911,00009524,1,12
,963852784159,00009531,0,18
,2810209241019,00009544,0,18
,281019271019,00009545,0,18
,2420191028101,00009546,0,18
,865413454785,00009548,0,18
,1234567899632,00009552,0,18
,7707262084337,00009635,1,12
,0000000053547,00009658,1,16
,0000000053558,00009659,21,16
,0000000053550,00009660,0,16
,7709998000025,00009748,1,10
,123456789123,00009779,1,10
,7709998815063,00009805,21,10
,7414714147417,00009856,0,4
,7777888899955,00009929,4,10
,7709998004405,00009953,0,14
,7709998041127,00009976,20,14
,123456789147,00009997,1,20
,7777777777788,00010101,21,10
,7709998825475,00010132,21,10
,0000000054561,00010195,21,10
,0000000054553,00010308,21,10
,7701015000025,00010641,21,8
,7709998017603,00010895,21,10
,7709998303478,00010954,21,16
,9999998888111,00011111,21,10
,7709998014602,00011216,23,18
,0770999891874,00011220,20,12
,7702856000007,00011273,21,18
,7709998119574,00011274,21,14
,7709998781597,00011280,21,12
,0000000019250,00012002,23,18
,7709998362130,00012009,21,14
,7709998852181,00012011,21,14
,1234567890324,00012092,0,18
,0000000054907,00012097,21,10
,4587952157897,00012578,1,10
,7709998009332,00012728,21,14
,2222333333333,00022222,21,6
,7709998002319,00065484,33,10
,6325478561232,00066666,21,10
,8889977221569,00077777,0,18
,3322114455111,00077778,21,10
,1234567898745,00109923,10,10
,445454646846,00109924,0,18
,7894561233333,00778899,21,10
,9632584155544,01010103,10,10
,3563456353423,01010192,0,18
,1234567844444,01235560,0,12
,9966443332232,03846598,1,1
,9876543210987,03846609,1,13
,3137263746543,03846610,1,13
,1111111111111,03846613,,
,2468135790123,03846614,1,13
,7707175320010,05432114,1,10
,4546534551321,10000001,20,20
,6879846512485,10000002,20,20
,5465465165498,10000003,20,20
,5564652542464,10000004,12,12
,4546088343734,100000045,10,10
,4649884566565,10000005,12,12
,9374747585858,100000054,1,30
,4343433434343,100000055,1,30
,8384894949494,100000059,1,80
,5163215648948,10000006,12,12
,7775558889763,100000066,0,10
,2342342343434,100000068,1,1
,1101102312255,10000007,10,10
,4894248941494,10000009,12,12
,4535394535398,100000090,1,10
,1234567891236,100000091,1,10
,2256154894515,10000010,12,12
,1818181811201,10000011,12,12
,2020191809085,10000012,12,12
,1561561561561,10000013,12,12
,2342356565444,10000016,12,13
,1231312323131,10000030,1,1
,4584651564894,1000008,12,12
,5646545645646,1000014,12,12
,3211654894654,1000017,12,12
,5556667777777,1000018,12,14
,6549846516156,1000019,12,12
,6858914892494,1000020,12,12
,5984964564651,1000021,12,12
,1236547898852,1000022,1,12
,5867459622132,1000023,1,20
,1234568971242,1000024,12,10
,1234568971287,1000025,1,20
,1234567986543,1000027,20,10
,5564894651516,1000029,12,12
,5465145645645,1000030,12,12
,5894865156415,1000031,12,12
,5321897846546,1000032,12,12
,1564643115615,1000033,12,12
,2019111098765,10001911,0,10
,7709998005778,10002440,1,8
,181811112019,10007718,0,2
,1122334415838,11119435,0,11
,6666666665556,11223356,0,11
,8800000000115,11690,0,18
,8800000000116,11691,0,18
,7896541235896,12228899,1,2
,2312321323423,12345688,1,1
,8999971876009,1234999,0,18
,8977971876739,14899,0,18
,1911201900019,18091991,0,20
,1210192584949,20081916,0,20
,2019000033699,20081918,0,20
,2019121620191,20190912,0,20
,1234564789798,20190914,0,20
,2052072092112,21081915,0,20
,1234567489798,21081916,0,20
,3535652101219,21081918,0,20
,7707176960178,22222217,0,12
,1233456789219,23081910,0,20
,3015091740123,23081916,0,20
,4564631894184,23232565,12,12
,5214789631547,25478961,1,15
,7707202603130,2580,0,11
,858265254555,2889989,0,18
,2019120300646,29081994,0,20
,7709998485874,30006348,1,10
,1110090807060,33338899,3,2
,7845961235478,36985214,1,15
,7707266999999,44223767,0,10
,1709201916092,52887900,20,20
,7707233560000,55789641,0,12
,6789023421231,56345645,1,1
,5434353453453,56756757,1,2
,4894895515641,58965896,12,12
