pais,abreviatura,capital
Jamaica,JAM,Kingston
Japón,JPN,Tokio
Jordania,JOR,Amán
Kazajistán,KAZ,Astana
Kenia,KEN,Nairobi
Kirguistán,KGZ,Bishkek
Kiribati,KIR,Tarawa
Kosovo,KOS,Pristina
Kuwait,KWT,Ciudad de Kuwait
Laos,LAO,Vientián
Lesoto,LSO,Maseru
Letonia,LVA,Riga
Líbano,LBN,Beirut
Liberia,LBR,Monrovia
Libia,LBY,Trípoli
Liechtenstein,LIE,Vaduz
Lituania,UTL,Vilna
Luxemburgo,LUX,Luxemburgo
Macao,MAC,Concelho de Macau
Macedonia,MKD,Skopie
Madagascar,ODM,Antananarivo
Malasia,MIS,Kuala Lumpur
Malawi,MWI,Lilongwe
Maldivas,MDV,Malé
Malí,MLI,Bamako
Malta,MLT,La Valeta
Marruecos,MAR,Rabat
Mauricio,MUS,Port Louis
Mauritania,MRT,Nuakchot
México,MEX,Ciudad de México
Moldavia,MDA,Chisinau
Mónaco,MCO,Mónaco
Mongolia,MNG,Ulaanbaatar
Monserrat,MSR,Plymouth
Montenegro,EMN,Podgorica
Mozambique,MOZ,Maputo
Namibia,NAM,Windhoek
Nauru,NRU,Yaren
Nepal,NPL,Katmandú
Nicaragua,NIC,Managua
Níger,NER,Niamey
Nigeria,NGA,Abuja
Noruega,NOR,Oslo
Nueva Caledonia,NCL,Nouméa
Nueva Zelanda,NZL,Wellington
Omán,OMN,Mascate
Países Bajos,NLD,Ámsterdam
Pakistán,PAK,Islamabad
Palau,PLW,Ngerulmud
Palestina,PSE,Jerusalén
Panamá,PAN,Ciudad de Panamá
Papúa Nueva Guinea,PNG,Port Moresby
Paraguay,PRY,Asunción
Perú,PER,Lima
Polinesia Francesa,PYF,Papeete
Polonia,POL,Varsovia
Portugal,PRT,Lisboa
Puerto Rico,PRI,San Juan
Reino Unido,GBR,Londres
República Centroafricana,CAF,Bangui
República Checa,CZE,Praga
República de China,CHN,Taipei
República Dominicana,DOM,Santo Domingo
Ruanda,RWA,Kigali
Rumanía,ROU,Bucarest
Rusia,RUS,Moscú
Samoa,WSM,Apia
Samoa Americana,ASM,Pago Pago
San Cristóbal y Nieves,KNA,Basseterre
San Marino,SMR,San Marino
San Vicente y las Granadinas,VCT,Kingstown
Santa Lucía,LCA,Castries
Santo Tomé y Príncipe,STP,Santo Tomé
Senegal,SEN,Dakar
Serbia,SRB,Belgrado
Seychelles,SYC,Victoria
Sierra Leona,LES,Freetown
Singapur,SGP,Singapur
Siria,SYR,Damasco
Somalia,SOM,Mogadiscio
Sri Lanka,LKA,Sri Jayawardenapura Kotte
Suazilandia,SWZ,Mbabane
Sudáfrica,ZAF,Pretoria
Sudán,SDN,Jartum
Suecia,SUE,Estocolmo
Suiza,CHE,Berna
Surinam,SUR,Paramaribo
Tailandia,THA,Bangkok
Tanzania,TZA,Dodoma
Tayikistán,TJK,Dushanbe
Togo,TGO,Lomé
Tonga,TON,Nuku_alofa
Trinidad y Tobago,TTO,Puerto España
Túnez,TUN,Túnez
Turkmenistán,TKM,Ashgabat
Turquía,TUR,Ankara
Tuvalu,TUV,Funafuti
Ucrania,UKR,Kiev
Uganda,UGA,Kampala
Uruguay,URY,Montevideo
Uzbekistán,UZB,Tashkent
Vanuatu,VUT,Port Vila
Venezuela,VEN,Caracas
Vietnam,VNM,Hanói
Yemen,YEM,Sanaá
Yibuti,DJI,Yibuti
Zambia,ZMB,Lusaka
Zimbabue,ZWE,Harare
